CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
167,0.50549451,0.58965517,0.14018692,0.0,0.57142857,1.0,6.415e-05,0.30769231,3.06666667
168,0.42380952,0.50925926,0.0,0.0,0.38095238,1.0,0.0,0.25,89.0
169,0.60714286,0.57894737,0.20930233,0.0,0.0,1.0,6.733e-05,0.42857143,1.88888889
170,0.34632035,0.45230769,0.16666667,0.09090909,0.5,1.0,8.713e-05,0.19047619,2.5
171,0.61818182,0.66831683,0.15,0.0,0.45454545,1.0,6.53e-05,0.4,2.83333333
172,0.47619048,0.53766234,0.03846154,0.0,0.4,1.0,1.597e-05,0.28571429,12.5
173,0.4619883,0.51141553,0.15053763,0.0,0.89473684,1.0,8.826e-05,0.27777778,2.82142857
174,0.38461538,0.4047619,0.14285714,0.0,0.30769231,1.0,4.605e-05,0.25,3.0
175,0.44117647,0.46575342,0.33333333,0.05882353,0.52941176,1.0,0.00021135,0.1875,1.0
176,1.0,1.0,0.4,0.33333333,0.0,1.0,7.978e-05,1.0,0.75
177,0.48366013,0.55403557,0.05732484,0.0,0.33333333,1.0,2.994e-05,0.29411765,8.22222222
178,0.44117647,0.46153846,0.35135135,0.11764706,0.35294118,1.0,0.00022897,0.25,0.92307692
179,0.75,0.74193548,0.14285714,0.0,0.375,1.0,5.237e-05,0.57142857,3.0
180,0.47252747,0.57915058,0.06521739,0.0,0.5,1.0,2.566e-05,0.30769231,7.16666667
181,0.40350877,0.50943396,0.0,0.0,0.52631579,1.0,0.0,0.22222222,69.0
182,0.39869281,0.53061224,0.12230216,0.0,0.5,1.0,5.656e-05,0.23529412,3.58823529
183,0.32467532,0.48932039,0.06832298,0.0,0.59090909,1.0,2.995e-05,0.19047619,6.81818182
184,0.67272727,0.70512821,0.15909091,0.0,0.54545455,1.0,7.619e-05,0.4,2.64285714
185,0.28138528,0.3627204,0.21212121,0.04545455,0.5,1.0,9.53e-05,0.14285714,1.85714286
186,0.43333333,0.56302521,0.21212121,0.0625,0.5,1.0,0.00010479,0.2,1.85714286
187,0.71111111,0.74226804,0.16883117,0.0,0.5,1.0,7.782e-05,0.44444444,2.46153846
188,0.37142857,0.50995406,0.0877193,0.04761905,0.52380952,1.0,4.278e-05,0.2,5.2
189,0.9,0.875,0.30769231,0.2,0.0,1.0,9.575e-05,0.75,1.125
190,0.26900585,0.51680672,0.22689076,0.0,0.15789474,1.0,8.511e-05,0.11111111,1.7037037
191,0.73333333,0.77272727,0.24137931,0.0,0.6,1.0,0.0001257,0.44444444,1.57142857
192,0.38181818,0.375,0.125,0.0,0.0,0.90909091,3.265e-05,0.2,3.5
193,0.48333333,0.51048951,0.01694915,0.0,0.5,1.0,7.49e-06,0.26666667,29.0
194,0.4379085,0.55307263,0.0,0.0,0.5,1.0,0.0,0.23529412,67.0
195,0.57142857,0.54545455,0.22580645,0.0,0.0,1.0,5.985e-05,0.33333333,1.71428571
196,0.62121212,0.67777778,0.19607843,0.0,0.58333333,1.0,9.978e-05,0.36363636,2.05
197,0.63636364,0.66990291,0.23076923,0.0,0.54545455,1.0,0.00011428,0.4,1.66666667
198,0.46153846,0.43404255,0.24324324,0.0,0.42857143,1.0,0.00011547,0.30769231,1.55555556
199,0.2459893,0.42269612,0.09803922,0.02941176,0.41176471,1.0,5.289e-05,0.15151515,4.6
200,0.59090909,0.64285714,0.15217391,0.0,0.5,1.0,6.984e-05,0.36363636,2.78571429
201,0.55555556,0.53164557,0.375,0.11111111,0.22222222,0.88888889,0.00015961,0.375,0.83333333
202,0.33596838,0.42857143,0.14141414,0.04347826,0.73913043,1.0,7.293e-05,0.22727273,3.03571429
203,0.41830065,0.54140127,0.05185185,0.0,0.61111111,1.0,2.329e-05,0.23529412,9.14285714
204,0.57575758,0.6125,0.16483516,0.0,0.5,1.0,7.483e-05,0.36363636,2.53333333
205,0.44117647,0.46420323,0.11764706,0.05882353,0.47058824,1.0,5.636e-05,0.25,3.75
206,0.61904762,0.53846154,0.45833333,0.42857143,0.0,0.85714286,0.00018809,0.33333333,0.59090909
207,0.23384615,0.4516129,0.07878788,0.03846154,0.42307692,0.92307692,2.996e-05,0.12,5.84615385
208,0.44444444,0.52908068,0.07482993,0.0,0.66666667,1.0,3.66e-05,0.23529412,6.18181818
209,0.49450549,0.54355401,0.08163265,0.0,0.42857143,1.0,3.421e-05,0.30769231,5.625
210,0.60606061,0.64367816,0.12087912,0.0,0.5,1.0,5.488e-05,0.36363636,3.63636364
211,0.68888889,0.65060241,0.01587302,0.0,0.9,1.0,5.99e-06,0.44444444,31.0
212,0.325,0.46551724,0.19587629,0.0625,0.25,0.9375,7.111e-05,0.2,2.05263158
213,0.5,0.25,0.26530612,0.11111111,0.11111111,0.66666667,8.646e-05,0.25,1.38461538
214,0.55128205,0.37651822,0.26495726,0.15384615,0.92307692,1.0,0.00014277,0.33333333,1.38709677
215,0.46969697,0.48214286,0.29545455,0.08333333,0.25,1.0,0.00012971,0.27272727,1.19230769
216,0.36956522,0.5,0.01923077,0.0,0.625,1.0,9.98e-06,0.2173913,25.5
217,0.57142857,0.72413793,0.23809524,0.125,0.125,1.0,7.481e-05,0.28571429,1.6
218,0.61111111,0.63636364,0.10204082,0.0,0.33333333,1.0,3.325e-05,0.375,4.4
219,0.33992095,0.37829912,0.03370787,0.0,0.60869565,1.0,1.563e-05,0.18181818,14.33333333
220,0.58181818,0.62637363,0.16883117,0.0,0.45454545,1.0,7.075e-05,0.3,2.46153846
221,0.43382353,0.52898551,0.09923664,0.0,0.58823529,1.0,4.579e-05,0.25,4.53846154
222,0.49450549,0.4787234,0.32330827,0.14285714,0.5,1.0,0.0001839,0.30769231,1.04651163
223,0.4,0.47625509,0.08695652,0.0,0.61904762,1.0,4.564e-05,0.25,5.25
224,0.75555556,0.76076555,0.08108108,0.0,0.7,1.0,3.592e-05,0.55555556,5.66666667
225,0.33333333,0.40540541,0.28571429,0.1,0.1,0.8,7.183e-05,0.22222222,1.25
226,0.56410256,0.6185567,0.05376344,0.0,0.53846154,1.0,2.303e-05,0.33333333,8.8
227,0.70909091,0.74716981,0.22,0.09090909,0.54545455,1.0,0.00011972,0.4,1.77272727
228,0.33986928,0.37017995,0.07142857,0.0,0.27777778,0.94444444,2.662e-05,0.17647059,6.5
229,0.40952381,0.44047619,0.23893805,0.13333333,0.4,1.0,0.00010778,0.21428571,1.59259259
230,0.2875817,0.42028986,0.17757009,0.11111111,0.22222222,1.0,6.321e-05,0.17647059,2.31578947
231,0.47619048,0,0.2,0.14285714,0.0,0.0,4.275e-05,0.33333333,2.0
232,0.35930736,0.53587116,0.05142857,0.0,0.5,1.0,2.451e-05,0.19047619,9.22222222
233,0.56363636,0.64285714,0.08823529,0.0,0.45454545,1.0,3.265e-05,0.3,5.16666667
234,0.44166667,0.5203252,0.05357143,0.0,0.5,1.0,2.246e-05,0.26666667,8.83333333
235,0.35177866,0.47247119,0.12745098,0.0,0.47826087,1.0,6.772e-05,0.18181818,3.42307692
236,0.6025641,0.63662791,0.15315315,0.07692308,0.61538462,1.0,7.829e-05,0.33333333,2.76470588
237,0.51428571,0.61082474,0.10743802,0.0,0.6,1.0,5.189e-05,0.28571429,4.15384615
238,0.38235294,0.57491289,0.1875,0.0,0.52941176,1.0,8.454e-05,0.25,2.16666667
239,0.51648352,0.41584158,0.1047619,0.0,0.64285714,1.0,4.704e-05,0.30769231,4.27272727
240,0.50833333,0.5814433,0.07575758,0.0,0.625,1.0,3.743e-05,0.26666667,6.1
241,0.52727273,0.66206897,0.03333333,0.0,0.36363636,1.0,1.088e-05,0.3,14.5
242,0.40522876,0.53235908,0.02362205,0.0,0.44444444,1.0,9.98e-06,0.23529412,20.66666667
243,0.78571429,0.82075472,0.16981132,0.0,0.625,1.0,6.733e-05,0.42857143,2.44444444
